product_name,quantity,price,expiration_date,supplier,location,category,weight,barcode,shelf_life
Muffin - Mix - Mango Sour Cherry,520,244.07,10/21/2022,Realbuzz,PO Box 52788,electronics,17.23,6573518282745,93
Cranberry Foccacia,126,651.14,4/2/2022,Bluezoom,Apt 618,home goods,87.71,6431440113050,29
Clam Nectar,768,851.33,12/3/2023,Thoughtbeat,PO Box 50733,electronics,76.32,6589801871356,184
Carrots - Jumbo,187,986.86,8/6/2023,Oodoo,Suite 50,home goods,68.41,4516139724193,174
"Noodles - Cellophane, Thin",209,530.59,2/28/2022,Yata,Suite 83,electronics,9.22,9723747172713,326
Appetiser - Bought,331,7.34,4/16/2022,Devshare,Apt 1423,clothing,10.54,4113578517868,211
Vinegar - Tarragon,339,19.87,7/6/2022,Myworks,Suite 31,home goods,16.78,3080882694395,12
"Chicken - Diced, Cooked",959,502.83,3/5/2023,Demivee,PO Box 92483,electronics,5.95,3355090954891,17
Calvados - Boulard,322,655.93,12/20/2023,Wordpedia,PO Box 24122,home goods,21.5,6544856734835,315
Wine - Touraine Azay - Le - Rideau,474,480.62,9/9/2022,Twitterbeat,Suite 65,electronics,88.91,1413182682307,365
"Marjoram - Dried, Rubbed",29,961.83,7/2/2022,Devpoint,10th Floor,clothing,53.5,2933602747594,136
Glove - Cutting,72,339.45,6/17/2022,Meembee,7th Floor,electronics,62.59,6348180744115,110
Wine - Muscadet Sur Lie,398,853.38,6/7/2022,Zoombeat,Room 818,clothing,61.22,6006719740897,58
Beef - Tenderloin - Aa,596,135.33,4/13/2023,Eimbee,Suite 75,electronics,62.8,7882259575166,98
"Leeks - Baby, White",28,803.06,8/23/2022,Blognation,12th Floor,home goods,74.78,3191465815984,224
Orange Roughy 4/6 Oz,485,159.57,10/7/2023,Twinder,Apt 1113,home goods,46.11,8476229341796,104
"Soup - Knorr, Classic Can. Chili",739,633.2,5/4/2022,Gevee,Room 2000,electronics,64.93,2546921042805,61
"Tomatoes - Vine Ripe, Yellow",318,579.17,12/21/2022,Fivebridge,Suite 70,clothing,34.2,2924488690741,4
Soup - Campbells Chicken,516,503.42,9/6/2022,Dynazzy,PO Box 64719,home goods,13.9,8802981433560,200
"Wine - Red, Harrow Estates, Cab",363,46.47,5/24/2023,Digitube,Suite 5,electronics,23.04,5741665872589,313
Calypso - Lemonade,529,600.11,6/1/2022,Brainlounge,PO Box 48739,home goods,91.09,2616291544220,256
Milk - Chocolate 500ml,218,542.61,12/13/2022,Quaxo,PO Box 65093,home goods,83.89,8662146650057,253
Nantuket Peach Orange,865,520.81,4/7/2022,Flipbug,Apt 1874,clothing,29.45,1949010839018,325
"Tomatoes - Cherry, Yellow",837,296.86,6/3/2022,Trunyx,Room 452,clothing,12.84,2562919862610,147
Wine - Barolo Fontanafredda,678,900.64,4/17/2022,Zava,PO Box 94024,electronics,11.83,3190161108270,165
Cardamon Seed / Pod,120,931.72,11/19/2023,Mydeo,Room 1475,electronics,22.42,8734452694139,33
"Lamb - Loin, Trimmed, Boneless",166,640.2,3/26/2023,Wikizz,PO Box 41464,electronics,91.78,5043018784767,41
Sproutsmustard Cress,189,190.17,8/12/2023,Cogidoo,Suite 81,home goods,41.24,7949408963909,53
Oven Mitts 17 Inch,77,27.91,11/17/2022,Eidel,Suite 82,home goods,7.56,9202295444687,232
Cheese - St. Paulin,157,436.54,2/26/2022,Avamm,PO Box 7022,clothing,34.81,5598445519252,244
Food Colouring - Orange,279,212.87,1/14/2023,Fivespan,Suite 2,clothing,44.91,2495632857331,362
Kirsch - Schloss,819,786.03,3/12/2022,Skipstorm,Apt 556,home goods,59.27,1294566535079,353
"Fish - Scallops, Cold Smoked",541,824.38,10/8/2023,Jaxworks,PO Box 90461,home goods,56.97,4511099398789,59
Soup - Campbells,222,625.71,7/8/2022,Riffpath,Apt 1651,electronics,50.79,3822967609210,344
"Pepper - Paprika, Spanish",725,327.04,4/13/2023,Meezzy,Apt 1480,clothing,56.61,9269270181905,67
Banana - Green,460,369.59,11/26/2022,Buzzdog,PO Box 18917,clothing,69.04,7435793884053,56
Juice - Orange 1.89l,287,439.6,6/14/2023,Skivee,Room 1723,home goods,56.71,3148459229503,24
Edible Flower - Mixed,150,240.78,7/19/2023,Gabspot,PO Box 17572,home goods,73.67,5373487800764,139
Eel - Smoked,786,379.86,8/15/2023,Buzzdog,Room 352,home goods,34.19,8022668448818,280
Lettuce - Treviso,843,525.79,2/20/2023,Blogtags,Room 1709,clothing,48.54,6268358473852,295
Salt - Sea,156,225.25,10/9/2022,LiveZ,Apt 751,clothing,75.58,6685543671244,91
Arizona - Plum Green Tea,30,820.24,6/4/2023,Jaxspan,17th Floor,electronics,19.2,5260801972267,274
Croissants Thaw And Serve,48,526.93,7/5/2022,Eimbee,Apt 375,home goods,74.09,6227487286476,358
"Pasta - Fusili, Dry",104,982.76,10/21/2023,Bubbletube,Room 615,clothing,72.27,1148674364358,226
Cheese - Brie Roitelet,570,313.74,1/10/2022,Livetube,Apt 666,home goods,37.46,8145076933024,98
Arizona - Green Tea,54,618.38,10/8/2022,Ntags,PO Box 36059,electronics,31.1,4414953059379,172
"Lamb - Leg, Diced",414,219.24,8/8/2022,Tazzy,Suite 3,home goods,65.86,3306681813045,53
Mudslide,335,556.83,3/27/2023,Twitterworks,Suite 2,home goods,85.94,3013823180850,169
Pasta - Agnolotti - Butternut,398,326.65,12/22/2022,Fiveclub,18th Floor,electronics,27.16,5805804145207,204
Chocolate - Mi - Amere Semi,353,719.29,8/9/2023,Shufflester,Room 1063,home goods,22.48,6669287537026,15
Bagels Poppyseed,790,980.8,1/11/2022,Linkbuzz,PO Box 75091,clothing,63.23,2216345011122,154
Fireball Whisky,817,864.59,11/20/2023,Flipbug,Room 1678,electronics,4.93,7727374976263,114
Bread - Kimel Stick Poly,596,146.41,10/16/2023,Photobean,Suite 43,electronics,1.0,5665965871922,122
Bouillion - Fish,562,933.58,11/16/2022,Avaveo,18th Floor,home goods,65.69,6997800850434,315
Mix - Cocktail Ice Cream,725,161.01,8/28/2022,Aivee,Suite 96,electronics,89.68,2930772929953,253
Squid Ink,258,773.88,1/18/2023,Thoughtbridge,Apt 542,clothing,22.06,2744795684695,10
Mountain Dew,592,33.52,6/9/2022,Eidel,Room 1524,clothing,45.05,5563676432514,338
Chicken - Tenderloin,990,740.07,2/5/2022,Buzzshare,PO Box 32742,home goods,13.46,2727038687997,159
Wine - Cotes Du Rhone,968,477.86,3/27/2023,Linkbridge,2nd Floor,home goods,32.55,2495915090140,255
Vinegar - Sherry,502,512.43,2/20/2022,Meeveo,20th Floor,home goods,8.03,5276353797245,129
Cheese - Ricotta,652,824.06,11/9/2023,Meeveo,Suite 69,electronics,40.4,2311269020258,268
"Pasta - Rotini, Dry",107,854.52,12/17/2023,Zoombeat,PO Box 83669,electronics,80.18,4584318918872,317
Pork - Caul Fat,31,711.52,12/14/2022,Twitterlist,Apt 1196,home goods,76.48,4280173561554,271
Compound - Passion Fruit,447,90.29,3/8/2023,Oyoloo,Room 859,electronics,72.53,9213656288827,174
Lobak,744,214.98,9/7/2023,Roomm,Room 1898,home goods,21.58,1844375440794,109
Raspberries - Frozen,677,570.05,1/9/2022,Dabfeed,PO Box 90531,clothing,44.5,9164898057112,353
"Pasta - Rotini, Dry",954,608.48,1/21/2023,Youspan,Apt 1447,clothing,31.03,4869646302394,36
Energy Drink Red Bull,919,881.73,12/5/2022,Quinu,Apt 766,home goods,50.46,7735427281547,98
Wine - Malbec Trapiche Reserve,960,228.21,8/31/2023,Quinu,Suite 92,electronics,10.8,6220048150337,230
Tomatoes - Orange,92,393.88,12/2/2023,DabZ,Apt 1944,electronics,88.58,3888533337273,308
Wine - Domaine Boyar Royal,777,938.4,3/10/2023,Wikido,Apt 921,clothing,33.02,2645739678585,219
Bagelers - Cinn / Brown,418,773.93,5/5/2023,Skipfire,Apt 1415,clothing,82.16,2060981254837,292
Extract Vanilla Pure,846,190.81,8/25/2022,Leexo,Apt 1868,clothing,17.59,3209097748628,201
Bag - Regular Kraft 20 Lb,823,548.26,1/22/2022,Oba,PO Box 3220,clothing,71.97,4211478657826,253
"Wine - Niagara,vqa Reisling",444,827.67,5/21/2022,Edgetag,Suite 20,home goods,54.21,9713908916136,356
Soup Bowl Clear 8oz92008,498,420.92,11/10/2023,Skyvu,Apt 55,clothing,56.77,7054282977531,55
Chicken - Wieners,874,734.55,9/3/2022,Mita,PO Box 72621,electronics,58.29,6507649276797,23
Cookie - Oatmeal,169,238.81,1/5/2023,Feednation,PO Box 73231,electronics,25.41,8846355484426,138
"Trout - Rainbow, Frozen",859,122.16,6/2/2022,Oyope,PO Box 71359,clothing,49.92,7298307382896,208
Wine - Delicato Merlot,33,845.1,4/27/2023,Ailane,12th Floor,electronics,29.36,5179386045306,17
"Oranges - Navel, 72",547,732.29,5/10/2022,Jabbercube,Apt 655,home goods,31.99,4775998286426,228
Pecan Raisin - Tarts,885,742.35,8/30/2022,Thoughtbridge,PO Box 72303,home goods,26.44,1219121749395,309
Teriyaki Sauce,759,748.97,6/3/2022,Ntag,Suite 27,home goods,2.9,4832147051192,2
Butter - Pod,691,809.55,11/7/2022,Ainyx,5th Floor,clothing,7.35,1858696378764,35
Extract - Lemon,189,407.66,2/26/2023,Divape,Apt 523,clothing,35.36,1986270329017,9
Sour Cream,205,883.62,7/18/2022,Rhybox,PO Box 18601,electronics,43.01,3169272490016,162
Beef - Salted,62,425.54,10/13/2023,Rhycero,Room 1284,home goods,47.3,8023697481931,93
Cattail Hearts,604,322.03,7/17/2022,Geba,Suite 79,home goods,64.32,8709271661449,47
"Pasta - Rotini, Colour, Dry",276,161.7,6/29/2022,Tagopia,Apt 680,electronics,52.73,1294737144470,285
Scrubbie - Scotchbrite Hand Pad,353,554.61,11/25/2022,Wordware,PO Box 41491,home goods,78.94,3441710640929,123
Kellogs Special K Cereal,802,755.48,9/7/2023,Meembee,Room 890,electronics,90.24,3288064879177,203
Lime Cordial - Roses,300,334.02,5/9/2022,Topdrive,8th Floor,electronics,69.11,9266423517416,85
"Sauce - Gravy, Au Jus, Mix",759,511.37,12/15/2023,Oozz,Apt 1953,home goods,85.02,9993291370337,126
Wine - Tio Pepe Sherry Fino,478,917.89,3/19/2022,Voomm,11th Floor,clothing,83.18,2926764620807,147
"Juice - Apple, 500 Ml",363,483.39,8/12/2023,Tagcat,Apt 1948,home goods,1.6,3964675844578,46
Bread - White Epi Baguette,594,201.16,3/20/2022,Devify,6th Floor,clothing,33.9,8664244600767,245
Roe - White Fish,113,492.82,8/21/2022,Fatz,Apt 357,clothing,94.14,1801093642898,344
Creamers - 10%,358,583.47,7/12/2023,Youtags,Suite 92,clothing,46.2,1515419749459,242
"Tomatoes - Diced, Canned",938,980.5,2/25/2022,Quatz,Room 329,clothing,49.34,6494156270471,347
Bonito Flakes - Toku Katsuo,662,701.72,6/23/2023,Feedfish,Apt 195,home goods,91.99,8985564217353,241
Buffalo - Striploin,761,166.65,11/7/2023,Ailane,Apt 721,electronics,83.98,8746837319070,4
Cake - Lemon Chiffon,278,494.05,8/31/2022,Zazio,Suite 50,home goods,89.58,1361086051853,235
Table Cloth 54x54 White,512,225.41,8/15/2023,Voonyx,PO Box 26518,electronics,54.05,1408382172877,207
"Seedlings - Mix, Organic",359,757.85,2/17/2022,Wordify,PO Box 73815,electronics,64.51,9558835056427,21
External Supplier,454,95.47,8/27/2022,Skipfire,Room 786,home goods,70.08,4227228664977,163
Wine - Sawmill Creek Autumn,31,807.82,5/25/2022,Eazzy,Room 319,clothing,1.88,6027503721849,236
"Marsala - Sperone, Fine, D.o.c.",546,265.12,5/8/2022,Mita,Suite 71,home goods,33.03,8549058038519,62
White Baguette,746,499.27,4/11/2022,Yozio,Apt 1815,clothing,52.92,5864979373499,116
Marzipan 50/50,199,283.05,6/14/2023,Skyvu,Suite 57,electronics,79.13,9105711082813,17
"Nut - Walnut, Pieces",568,100.73,6/3/2023,Eamia,Suite 50,home goods,2.82,6939842620260,274
Garlic - Elephant,955,39.84,12/8/2023,Agivu,PO Box 63823,home goods,75.2,5579425682166,313
Muffin - Mix - Creme Brule 15l,212,463.22,12/19/2022,Browsezoom,PO Box 28952,home goods,67.98,9896930780295,159
Foil Wrap,266,650.46,2/17/2023,Edgepulse,PO Box 65863,home goods,51.41,6783136255804,277
"Veal - Brisket, Provimi,bnls",977,682.45,11/16/2023,Babbleblab,Suite 15,clothing,69.75,7170469411533,342
Table Cloth 91x91 Colour,362,739.26,7/30/2022,Mycat,PO Box 82702,home goods,98.38,6066140514367,201
Boogies,592,890.79,9/9/2022,Oyoyo,9th Floor,clothing,66.43,6391721315674,127
Capon - Whole,210,169.22,1/26/2023,Jaxbean,Apt 476,home goods,16.95,2623393252177,171
Chocolate - Feathers,370,528.73,3/26/2022,Feedfire,1st Floor,clothing,3.7,2692582496060,186
"Veal - Insides, Grains",821,1.74,1/27/2023,Brainlounge,Suite 41,home goods,88.85,1398656191518,107
Garam Masala Powder,245,265.85,8/2/2023,Yoveo,5th Floor,electronics,38.1,8913425663961,128
Bagel - Everything,318,968.51,2/21/2022,Pixoboo,14th Floor,clothing,27.52,4114451171586,78
Everfresh Products,165,101.12,5/3/2022,Flipbug,PO Box 89104,electronics,96.52,1114208095903,270
Bread - Hamburger Buns,837,515.71,12/18/2022,Skyvu,Suite 86,home goods,35.33,2819519041890,348
Oil - Sesame,407,822.16,1/16/2023,Gabvine,PO Box 48309,electronics,83.63,3016150302095,58
"Juice - Pineapple, 48 Oz",223,825.69,1/13/2022,Browsetype,Apt 524,home goods,99.47,1822853635319,76
Wine - Chenin Blanc K.w.v.,927,372.37,9/18/2023,Omba,18th Floor,clothing,37.34,5138159105544,41
Shrimp - Black Tiger 13/15,22,283.14,2/14/2022,Avamm,16th Floor,home goods,28.41,9804371525557,153
Wine - Soave Folonari,271,40.39,9/13/2023,Topicstorm,Apt 1457,electronics,55.23,4347817524492,117
Cookie Dough - Double,765,202.51,1/23/2022,Wikivu,PO Box 45515,home goods,98.55,5660650769518,63
"Beans - Black Bean, Dry",806,991.18,1/16/2022,Mita,PO Box 53660,home goods,83.29,3434424158024,262
Mushroom - King Eryingii,364,772.52,10/11/2022,Photospace,18th Floor,electronics,22.26,6385637562661,225
Cheese - Swiss,969,368.09,6/19/2022,Yamia,6th Floor,home goods,21.51,2797755509528,180
"Tortillas - Flour, 10",288,215.23,6/24/2022,Fatz,Suite 17,clothing,35.43,8838979962921,265
Shrimp - 31/40,932,485.6,6/12/2022,Tambee,Suite 49,clothing,80.94,1641147057729,145
Wine - Montecillo Rioja Crianza,965,918.34,8/28/2023,Rhyloo,Room 391,home goods,49.2,1004215716758,119
Red Currant Jelly,247,706.41,8/24/2022,Riffwire,Room 1479,electronics,51.68,5944732272782,83
"Pasta - Lasagna, Dry",128,14.48,3/22/2022,Minyx,PO Box 20608,home goods,46.32,3642312304890,111
Scampi Tail,747,923.29,12/13/2023,Skivee,PO Box 97127,home goods,16.91,5880260643038,301
Carbonated Water - Lemon Lime,161,55.02,2/17/2023,Quinu,Suite 82,clothing,5.28,6391082598476,44
Wine - George Duboeuf Rose,329,103.78,9/20/2023,Feedfish,Room 289,clothing,64.33,8919229389556,147
"Beef - Outside, Round",409,583.21,7/29/2023,Flashpoint,Suite 33,home goods,55.0,6303072538562,201
Tandoori Curry Paste,396,399.45,10/19/2023,Blogtags,PO Box 15238,clothing,37.07,9240100150534,293
Honey - Liquid,817,690.54,8/9/2022,Rooxo,Apt 674,electronics,8.69,5617853292801,170
"Tray - Foam, Square 4 - S",247,266.72,5/5/2023,Twitterbeat,PO Box 61733,home goods,2.13,9754250854906,223
"Pork - Tenderloin, Frozen",828,175.49,5/29/2022,Chatterbridge,Suite 79,clothing,13.5,1924591530563,320
Beans - Fine,573,17.38,12/29/2023,Skinder,Apt 841,home goods,30.66,6735176621424,21
Taro Leaves,339,101.96,10/24/2023,Plajo,PO Box 9065,electronics,19.95,5078202771477,210
Dried Cranberries,556,760.69,12/26/2022,Kwilith,Room 224,clothing,7.73,2035517516498,255
Beef Cheek Fresh,275,103.9,10/9/2023,Avaveo,Suite 94,clothing,31.35,3627165408822,54
Crab - Meat Combo,710,1.68,8/23/2022,Quimba,Room 1214,electronics,86.08,6199553842407,79
"Beans - Kidney, Canned",257,651.72,4/9/2022,Abatz,Apt 1629,home goods,83.27,3897645206011,275
"Dill - Primerba, Paste",782,346.63,2/3/2023,Meeveo,Suite 39,electronics,39.33,1298099772857,312
Arctic Char - Fillets,158,425.6,4/14/2023,Camido,Room 693,clothing,50.55,4704873254784,322
Tarragon - Fresh,114,118.9,3/17/2022,Meeveo,Apt 420,electronics,85.33,9594302875967,280
Creme De Cacao White,123,894.04,10/10/2022,Tazz,Suite 27,clothing,6.2,4233714429373,21
Cup - Translucent 7 Oz Clear,325,746.48,3/12/2022,Zoozzy,Room 1144,clothing,1.41,7238454695251,156
"Juice - V8, Tomato",749,557.08,1/5/2023,Oba,Apt 332,clothing,50.76,6817292139519,122
"Pasta - Fettuccine, Dry",557,349.06,2/17/2022,Brainverse,PO Box 31200,home goods,14.31,1281023479751,299
"Potatoes - Purple, Organic",211,869.24,12/31/2022,Realbuzz,Apt 1338,home goods,77.74,8936623784094,245
"Oranges - Navel, 72",709,888.28,6/14/2022,Tazzy,Apt 800,clothing,69.51,8924208663596,167
Cinnamon Buns Sticky,752,77.37,1/1/2022,Yata,10th Floor,clothing,24.15,3682226077478,323
"Octopus - Baby, Cleaned",643,170.94,2/1/2022,Cogilith,Room 1424,home goods,56.9,6884230864244,42
Wine - Fontanafredda Barolo,218,289.12,2/9/2022,DabZ,9th Floor,clothing,66.09,2836673729023,278
Honey - Comb,34,454.39,7/8/2023,Vidoo,Room 1649,home goods,69.61,3208042065570,305
Raisin - Dark,120,707.29,11/30/2022,Flipstorm,Suite 18,electronics,13.48,9464943128647,178
"Pail - 4l White, With Handle",198,911.9,9/26/2022,Dabshots,Suite 67,home goods,52.46,2257424050223,107
Cheese - St. Andre,222,420.17,8/7/2023,Trudoo,13th Floor,home goods,19.1,6375713813210,3
Salmon Steak - Cohoe 8 Oz,252,197.21,8/12/2022,Twinte,Apt 1932,electronics,7.75,5647072380692,287
Towel Multifold,608,398.34,1/16/2022,Blognation,PO Box 17806,home goods,32.27,3687735297260,187
Salmon - Canned,233,847.16,1/25/2023,Fiveclub,Room 1722,clothing,78.0,9348856829457,161
Peppercorns - Green,142,671.56,3/9/2023,Quimba,Suite 37,home goods,57.21,7571869810299,125
Lettuce - Green Leaf,566,403.33,7/23/2022,Photobean,Suite 99,home goods,39.45,5994059296876,294
Sauce - Hp,567,724.73,2/8/2022,Feedspan,19th Floor,electronics,49.01,6223015218523,95
Bread - Rosemary Focaccia,771,484.63,7/3/2022,Fliptune,14th Floor,clothing,27.41,1636541267585,224
Ice Cream - Turtles Stick Bar,594,949.49,5/21/2022,Tambee,Suite 77,clothing,78.75,7177559410896,246
"Tart Shells - Savory, 2",723,279.53,11/20/2023,Latz,4th Floor,home goods,87.41,5274402278601,262
Chervil - Fresh,763,756.9,8/14/2022,Kayveo,Suite 18,home goods,56.25,9569735116182,293
Salmon Atl.whole 8 - 10 Lb,877,810.36,8/25/2022,Skyndu,1st Floor,home goods,78.98,4646727708512,39
Beef - Rib Eye Aaa,1000,857.62,4/4/2023,Realblab,Room 1281,home goods,46.96,9618272347975,179
"Nut - Hazelnut, Whole",847,944.26,11/23/2023,Jazzy,PO Box 29915,home goods,49.74,2379299037798,348
Croissants Thaw And Serve,380,455.96,4/30/2022,Dynazzy,Room 112,home goods,48.57,7001154416304,331
Beef - Eye Of Round,467,657.04,5/19/2022,Rhyloo,Suite 59,home goods,12.62,1254088656273,107
Beer - Paulaner Hefeweisse,687,817.27,5/29/2023,Digitube,Apt 847,home goods,44.2,7904812157448,287
Scrubbie - Scotchbrite Hand Pad,160,444.86,3/12/2022,Wordpedia,20th Floor,clothing,79.93,6864178478603,42
Snapple Raspberry Tea,474,419.69,6/12/2023,Brainlounge,Room 1592,clothing,46.27,5115590849596,343
Sugar - Fine,913,462.96,10/6/2023,Abatz,PO Box 6178,electronics,67.49,5029921316895,100
White Fish - Filets,945,230.63,1/18/2023,Livefish,5th Floor,home goods,69.93,7080329495177,194
"Oil - Olive, Extra Virgin",651,435.13,9/6/2022,Jaxnation,Apt 152,electronics,91.76,7439919017050,83
Milk - Homo,694,378.83,5/29/2022,Quatz,Room 1530,electronics,83.34,7988957903583,8
Cheese - Cottage Cheese,670,126.75,9/17/2023,Flipopia,4th Floor,home goods,11.71,5386975590620,287
Mortadella,26,980.03,7/16/2023,Devbug,PO Box 12051,electronics,17.2,4649555118031,243
Cookie Choc,391,309.42,5/8/2022,Photojam,Room 188,electronics,48.84,8700476969772,299
"Wine - Red, Pelee Island Merlot",455,13.76,1/4/2023,Fanoodle,PO Box 76856,home goods,70.29,8016658928084,225
Wine - Rosso Toscano Igt,12,960.89,9/24/2023,Oyondu,Room 1608,clothing,83.2,5020815952003,123
Cheese - Brick With Pepper,506,134.8,2/23/2023,Tagtune,9th Floor,home goods,87.2,5250452215184,281
Godiva White Chocolate,531,79.44,9/17/2022,Feedfire,Suite 93,electronics,12.31,1514453500828,111
Tia Maria,302,522.06,4/4/2022,Centizu,PO Box 47625,home goods,50.99,4429580884413,95
"Pasta - Cannelloni, Sheets, Fresh",799,660.06,8/1/2023,Jetpulse,Suite 86,home goods,98.56,8718215663036,299
Cups 10oz Trans,719,741.1,9/23/2023,Voonder,Suite 65,electronics,40.4,6363334893736,206
Yogurt - Assorted Pack,55,379.87,10/19/2023,Devcast,Suite 84,electronics,4.24,1887417625089,350
Buffalo - Tenderloin,376,164.83,12/11/2023,Livetube,11th Floor,electronics,75.45,6901476171508,191
"Shrimp - 16/20, Iqf, Shell On",800,411.27,5/19/2023,Gevee,PO Box 54644,home goods,97.64,6036692413062,100
Lettuce - Radicchio,93,859.2,12/18/2022,Feednation,Apt 1480,home goods,87.51,4788552640182,65
Veal - Striploin,537,928.97,7/12/2023,Demizz,Apt 1330,electronics,27.74,8113048234870,291
Rice Paper,292,272.55,11/7/2023,Roodel,Apt 833,home goods,13.99,4904424463556,35
"Cheese - Cheddar, Medium",223,365.41,4/14/2023,Mynte,7th Floor,home goods,2.44,5287296584696,76
Lettuce - Frisee,461,601.61,8/4/2023,Photobean,Apt 1690,clothing,43.44,4584282295950,175
Garlic - Peeled,193,206.09,5/17/2022,Dabtype,Room 775,clothing,88.91,8715870322917,161
Pancetta,120,20.36,12/29/2023,Flipbug,Room 1523,electronics,79.57,9748284431764,334
Beef Wellington,793,326.13,2/25/2023,Flashdog,Suite 29,electronics,81.64,7205359344374,243
Wine - Magnotta - Bel Paese White,767,181.3,4/11/2023,Jayo,Room 620,clothing,71.67,7787350963383,140
Cheese - Cream Cheese,14,95.96,2/4/2023,Tagfeed,Suite 16,clothing,44.79,2764989913494,235
Bread - French Baquette,24,484.27,10/20/2022,Jatri,PO Box 92263,clothing,49.76,9596084489837,305
Chicken - Whole Fryers,531,137.78,8/20/2023,LiveZ,Suite 36,clothing,22.9,3586423364065,49
Cheese - St. Paulin,276,904.56,11/26/2023,Photofeed,16th Floor,home goods,93.96,1074310204227,267
Soup - Campbells Bean Medley,849,219.28,12/29/2023,Skaboo,Apt 1277,clothing,2.78,3655089730241,274
Flour - Masa De Harina Mexican,386,874.7,5/17/2022,Voonte,PO Box 52786,clothing,1.28,2282683880708,179
Fennel - Seeds,862,483.39,1/22/2023,Skipfire,Apt 1432,clothing,64.37,3830735050947,156
"Pork - Bacon, Sliced",715,803.23,5/5/2022,Myworks,Apt 1170,home goods,3.3,4878810568892,153
"Shrimp - 16/20, Iqf, Shell On",449,169.75,12/24/2022,Buzzbean,PO Box 94546,home goods,41.22,6107790330151,241
Chocolate Eclairs,814,205.02,12/12/2023,Gevee,Apt 1438,electronics,72.03,7628010136126,258
Wine - Acient Coast Caberne,982,923.72,9/12/2023,Gigaclub,PO Box 20434,clothing,34.14,8880994076675,60
Beef - Cow Feet Split,152,19.68,3/26/2023,Gigazoom,Suite 68,clothing,71.84,7660564746628,117
Bread - 10 Grain,742,769.88,3/14/2022,Skinder,Apt 304,home goods,77.95,4410282061630,127
Cookie Dough - Peanut Butter,652,429.56,4/25/2022,Tambee,Room 1184,clothing,95.8,9987126766573,151
Soap - Hand Soap,926,387.0,11/12/2022,Livepath,8th Floor,electronics,63.05,5362830380978,81
Beans - French,397,472.31,9/16/2022,Youbridge,Room 1511,clothing,54.1,6575404794306,152
"Bread - Pullman, Sliced",842,487.9,2/1/2022,Ntags,Room 717,clothing,75.05,3886089007020,46
"Tarragon - Primerba, Paste",784,278.56,3/19/2023,Meevee,Suite 7,clothing,43.15,3109793535616,126
Longos - Grilled Chicken With,317,684.15,7/4/2023,Skyba,Room 1029,home goods,40.43,5883100148112,52
Gooseberry,784,262.54,7/4/2023,Youfeed,PO Box 6907,clothing,20.01,9287091578333,361
Wine - Maipo Valle Cabernet,209,334.28,8/5/2022,Gabtune,PO Box 71032,electronics,79.46,8365344372670,237
Pie Pecan,447,908.82,6/8/2023,Divavu,Room 1307,home goods,98.28,4183415783109,86
Muffin - Carrot Individual Wrap,815,239.58,2/18/2022,Feedfish,5th Floor,home goods,37.33,1144203605717,98
